"","Id","Grupo","Edad","Sexo","Dedica_AP1","Dedica_DPyR1","ConPrevio","items","responses"
"137",86,1,18,0,0,0,0,"p11",1
"138",111,1,21,1,1,1,0,"p11",1
"139",273,3,26,0,1,0,1,"p11",0
"140",30,1,19,0,1,1,0,"p11",1
"141",232,2,19,0,1,1,0,"p11",1
"142",240,3,22,1,1,0,0,"p11",1
"143",314,3,20,0,0,0,1,"p11",0
"144",190,2,18,0,0,1,0,"p11",0
"145",295,3,19,0,1,1,0,"p11",1
"146",323,3,19,0,1,0,1,"p11",0
"147",17,1,20,0,1,1,1,"p11",1
"148",172,2,19,0,1,1,0,"p11",1
"149",247,3,21,0,1,1,0,"p11",1
"150",27,1,19,0,1,1,0,"p11",1
"151",169,2,19,1,0,0,0,"p11",0
"152",56,1,19,0,0,1,0,"p11",1
"153",57,1,18,0,0,1,0,"p11",0
"154",147,2,19,0,0,0,0,"p11",1
"155",188,2,19,0,1,0,0,"p11",1
"156",148,2,19,0,1,1,0,"p11",1
"157",269,3,19,0,0,0,0,"p11",0
"158",47,1,19,0,1,1,0,"p11",1
"159",108,1,20,1,1,1,1,"p11",1
"160",197,2,19,0,0,1,0,"p11",1
"161",120,1,27,1,0,0,0,"p11",0
"162",255,3,20,0,0,0,0,"p11",0
"163",209,2,19,0,1,0,0,"p11",0
"164",182,2,18,0,1,1,0,"p11",0
"165",14,1,20,0,1,0,0,"p11",1
"166",293,3,19,0,1,1,0,"p11",0
"167",88,1,18,0,1,0,0,"p11",1
"168",42,1,19,0,0,0,0,"p11",0
"169",254,3,20,1,1,0,1,"p11",0
"170",55,1,19,0,0,0,0,"p11",0
"171",307,3,18,0,1,1,0,"p11",1
"172",67,1,18,0,1,1,0,"p11",0
"173",159,2,19,0,1,1,0,"p11",1
"174",132,2,20,0,0,0,1,"p11",0
"175",228,2,19,0,0,1,0,"p11",0
"176",71,1,18,0,1,1,0,"p11",1
"177",297,3,19,0,1,1,0,"p11",0
"178",193,2,22,0,0,0,1,"p11",1
"179",5,1,24,0,0,0,1,"p11",0
"180",298,3,18,0,0,1,0,"p11",0
"181",302,3,18,0,1,1,0,"p11",1
"182",192,2,18,0,0,0,0,"p11",1
"183",189,2,18,0,0,1,0,"p11",1
"184",124,2,21,0,0,0,0,"p11",1
"185",112,1,18,0,1,1,0,"p11",1
"186",133,2,22,1,0,0,1,"p11",0
"187",261,3,20,1,1,0,1,"p11",1
"188",216,2,18,0,0,0,0,"p11",1
"189",33,1,19,0,1,0,0,"p11",0
"190",53,1,19,0,0,0,0,"p11",0
"191",248,3,21,0,1,0,1,"p11",0
"192",52,1,19,0,0,0,0,"p11",1
"193",102,1,19,0,1,1,0,"p11",0
"194",81,1,19,0,0,0,0,"p11",0
"195",199,2,19,0,0,0,0,"p11",0
"196",74,1,19,0,1,0,0,"p11",0
"197",322,3,19,0,0,0,0,"p11",1
"198",85,1,21,0,1,0,1,"p11",1
"199",327,3,23,1,0,0,1,"p11",1
"200",75,1,19,0,1,1,0,"p11",1
"201",277,3,19,0,1,1,0,"p11",1
"202",13,1,20,1,1,0,1,"p11",1
"203",225,2,19,0,0,1,0,"p11",1
"204",149,2,21,0,0,0,1,"p11",1
"205",70,1,19,0,1,1,1,"p11",0
"206",229,2,18,0,0,0,0,"p11",0
"207",324,3,18,0,1,1,0,"p11",1
"208",283,3,19,0,1,0,0,"p11",1
"209",221,2,19,0,0,1,0,"p11",1
"210",213,2,19,0,1,1,0,"p21",1
