;departamen;Seccion;latMin;latMax;lonMin;lonMax
243;CANELONES;1a - CANELONES;-34,62818035;-34,42535951;-56,37978446;-56,14284986
244;CANELONES;13a - CANELONES;-34,63614696;-34,43405992;-56,1657124;-55,9221842
245;CANELONES;7a - CANELONES;-34,72737285;-34,57035062;-56,06007404;-55,74147141
246;CANELONES;6a - CANELONES;-34,71742123;-34,54556207;-56,16222174;-55,96253135
247;CANELONES;20a - CANELONES;-34,78029781;-34,67427619;-56,15576623;-56,03301123
248;TREINTA Y TRES;1a - TREINTA Y TRES;-33,25949672;-33,22513333;-54,40238655;-54,37025873
249;CANELONES;19a - CANELONES;-34,69879324;-34,60472237;-56,32194007;-56,1933373
250;CERRO LARGO;10a - CERRO LARGO;-32,81394367;-32,38470306;-54,38277023;-53,96470706
251;CANELONES;4a - CANELONES;-34,74947818;-34,67023427;-56,30066097;-56,2136254
252;TACUAREMBO;1a - TACUAREMBO;-31,74534601;-31,69721869;-55,99866799;-55,95099851
253;TACUAREMBO;7a - TACUAREMBO;-32,25841065;-31,77346663;-55,57141772;-54,91385297
254;TACUAREMBO;9a - TACUAREMBO;-32,50515553;-31,91945548;-55,8543162;-55,40475241
255;TACUAREMBO;8a - TACUAREMBO;-32,28682959;-31,82752705;-55,20170995;-54,66711418
256;TACUAREMBO;15a - TACUAREMBO;-32,48887752;-32,08217036;-55,4853614;-54,83100352
257;TREINTA Y TRES;2a - TREINTA Y TRES;-33,27921873;-33,02735281;-54,24041364;-53,72071665
258;TREINTA Y TRES;8a - TREINTA Y TRES;-33,13759477;-32,84964684;-55,03425605;-54,75305634
259;TREINTA Y TRES;3a - TREINTA Y TRES;-33,18276667;-32,69748087;-54,05494904;-53,29059965
260;TREINTA Y TRES;9a - TREINTA Y TRES;-33,06232218;-32,79311873;-54,29025182;-53,84230244
261;TREINTA Y TRES;9a - TREINTA Y TRES;-33,16609543;-32,90900812;-54,29628873;-54,10977162
262;TREINTA Y TRES;10a - TREINTA Y TRES;-33,24231638;-33,09148035;-54,52596778;-54,38921865
263;TREINTA Y TRES;10a - TREINTA Y TRES;-33,28682353;-33,10860813;-54,40926695;-54,32137463
264;COLONIA;1a - COLONIA;-34,47496507;-34,44701969;-57,8541481;-57,78460562
265;COLONIA;7a - COLONIA;-34,46367224;-34,19796436;-57,98840004;-57,72957924
266;COLONIA;8a - COLONIA;-34,44263889;-34,38625454;-57,45304869;-57,35345793
267;COLONIA;2a - COLONIA;-34,34668954;-34,219453;-57,39487846;-57,27224155
268;COLONIA;17a - COLONIA;-34,27127915;-33,87430322;-57,46117142;-57,21195213
269;CERRO LARGO;5a - CERRO LARGO;-32,21194681;-31,65128803;-54,54823423;-53,84893624
270;CERRO LARGO;4a - CERRO LARGO;-32,33193299;-32,01269845;-54,10335701;-53,70264025
271;CERRO LARGO;12a - CERRO LARGO;-32,5441304;-32,17824464;-54,05016136;-53,58527152
272;CERRO LARGO;16a - CERRO LARGO;-32,78861399;-32,43326749;-53,71119329;-53,25872591
273;CERRO LARGO;14a - CERRO LARGO;-32,44202881;-32,11955885;-54,35272441;-54,02491735
274;CERRO LARGO;3a - CERRO LARGO;-32,75045465;-32,57001416;-53,40859515;-53,18105023
275;CERRO LARGO;11a - CERRO LARGO;-32,53309783;-31,99174234;-54,66711416;-54,16324229
276;CERRO LARGO;1a - CERRO LARGO;-32,39664474;-32,34597252;-54,20011705;-54,13325621
277;CANELONES;28a - CANELONES;-34,83071127;-34,77334753;-56,05301917;-55,9659028
278;SAN JOSE;2a - SAN JOSE;-34,35369017;-34,32466537;-56,71067058;-56,68694624
