"","Id","Grupo","Edad","Sexo","MUNICIPIO","DeptoSecc","Dedica_AP1","Dedica_DPyR1","ConPrevio","p11","p21","p31","p41","p51","p61","p71","p81","p91","p101","r11","r21","r31","r41","r51","r61","r71","r81","r91","r101"
"43",62,1,19,"F","G","MONTEVIDEO",1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
"44",181,2,18,"F",NA,"TREINTA Y TRES",0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"45",318,3,19,"F","E","MONTEVIDEO",1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"46",139,2,21,"M","LIBERTAD","SAN JOSE",0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1
"47",78,1,22,"M","D","MONTEVIDEO",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"48",129,2,20,"M","D","MONTEVIDEO",0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1
"49",325,3,19,"M","SAN CARLOS","MALDONADO",1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
"50",87,1,18,"F","PASO CARRASCO","CANELONES",1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
"51",92,1,18,"F","PAN DE AZUCAR","MALDONADO",1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"52",49,1,19,"F","G","MONTEVIDEO",1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0
"53",292,3,19,"F","C","MONTEVIDEO",0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1
"54",18,1,21,"M","E","MONTEVIDEO",1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1
"55",25,1,19,"F","PORVENIR","PAYSANDU",1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1
"56",95,1,19,"F",NA,"TREINTA Y TRES",1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
"57",110,1,19,"F","E","MONTEVIDEO",1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"58",91,1,18,"F","B","MONTEVIDEO",1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"59",208,2,19,"F","CIUDAD DE LA COSTA","CANELONES",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"60",167,2,19,"F","OMBUES DE LAVALLE","COLONIA",0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
"61",191,2,18,"F","G","MONTEVIDEO",0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
"62",171,2,19,"F",NA,"SAN JOSE",0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"63",195,2,24,"F","E","MONTEVIDEO",0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"64",263,3,21,"M","LAS PIEDRAS","CANELONES",0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"65",137,2,20,"M","SAN RAMON","CANELONES",0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"66",226,2,18,"F","B","MONTEVIDEO",1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0
"67",6,1,21,"F","D","MONTEVIDEO",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"68",316,3,20,"M","CIUDAD DE LA COSTA","CANELONES",1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0
"69",68,1,18,"F","B","MONTEVIDEO",0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1
"70",212,2,19,"F","LAS PIEDRAS","CANELONES",1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
"71",39,1,19,"F","B","MONTEVIDEO",1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
"72",286,3,19,"F","D","MONTEVIDEO",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",317,3,19,"F","B","MONTEVIDEO",1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"74",206,2,19,"F",NA,"TACUAREMBO",1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"75",36,1,19,"F","SAN CARLOS","MALDONADO",1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0
"76",10,1,20,"F","B","MONTEVIDEO",1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1
"77",285,3,19,"F","G","MONTEVIDEO",1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"78",331,3,19,"M","LAS PIEDRAS","CANELONES",1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1
"79",84,1,22,"M","A","MONTEVIDEO",1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",46,1,19,"F","PORVENIR","PAYSANDU",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81",289,3,19,"F","E","MONTEVIDEO",1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0
"82",118,1,18,"F","E","MONTEVIDEO",1,1,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0
"83",241,3,22,"M","B","MONTEVIDEO",0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"84",198,2,20,"M","D","MONTEVIDEO",0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"85",150,2,20,"F","D","MONTEVIDEO",0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"86",227,2,19,"F","E","MONTEVIDEO",0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"87",200,2,18,"F","CIUDAD DE LA COSTA","CANELONES",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88",274,3,19,"F","PROGRESO","CANELONES",1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1
"89",170,2,19,"F","E","MONTEVIDEO",1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
"90",210,2,18,"F","E","MONTEVIDEO",0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1
"91",106,1,19,"F","E","MONTEVIDEO",1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0
"92",266,3,19,"F","CH","MONTEVIDEO",1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
